id,Arterial_Vascular,Venous_Vascular,Base_Region,Hemisphere
1,3.775312278901694,33.93031989581845,bankssts,L
2,24.654752147042803,36.83282618183195,caudalanteriorcingulate,L
3,15.499930842947052,30.980993243522274,caudalmiddlefrontal,L
4,11.311815788637013,53.27795785548629,cuneus,L
5,27.371213273911536,77.87987451654737,entorhinal,L
6,17.89611168370269,52.45043382683523,fusiform,L
7,8.81195892833352,47.103235264376124,inferiorparietal,L
8,18.849345203972987,72.70198702276515,inferiortemporal,L
9,13.853967822869237,36.17219597119938,isthmuscingulate,L
10,11.260146933850269,70.62957411215066,lateraloccipital,L
11,18.41455605255181,51.35503878138234,lateralorbitofrontal,L
12,15.420414039437206,56.64075273050611,lingual,L
13,46.29344550417937,59.85530487310566,medialorbitofrontal,L
14,10.797239382704781,58.31081663471303,middletemporal,L
15,27.422382765878265,42.789079817168286,parahippocampal,L
16,26.645928722600424,19.520957998932293,paracentral,L
17,12.626994249057772,27.368583715465743,parsopercularis,L
18,19.024874333414612,84.55994683208539,parsorbitalis,L
19,11.517093148347437,44.663777704449785,parstriangularis,L
20,8.096578761695293,62.71852555633551,pericalcarine,L
21,27.51970678396224,41.35372665993758,postcentral,L
22,15.07087605271835,32.67999189281438,posteriorcingulate,L
23,24.284707940277162,29.285748700950062,precentral,L
24,9.447700147005293,31.979766559320407,precuneus,L
25,42.463458540117635,35.5231580525216,rostralanteriorcingulate,L
26,19.863396684769707,42.904847427771195,rostralmiddlefrontal,L
27,27.400092675543526,30.629760595200427,superiorfrontal,L
28,27.385992989610585,51.53923947130551,superiorparietal,L
29,22.188470433728384,49.330287984620526,superiortemporal,L
30,15.783155021238235,49.03590206334289,supramarginal,L
31,47.073019784479854,89.71446121213565,frontalpole,L
32,38.832298591299875,84.984634216467,temporalpole,L
33,34.06687111093893,27.496099816429776,transversetemporal,L
34,12.52123002957295,47.90337100144078,insula,L
35,15.36068444805444,44.80387930773096,thalamusproper,L
36,13.492334457768878,59.679765783795574,caudate,L
37,15.134122581639275,57.4438039576944,putamen,L
38,13.218199750905411,160.20947311083438,pallidum,L
39,37.58474738358586,54.33605143423311,accumbensarea,L
40,17.63436864461002,89.5211559543869,hippocampus,L
41,23.15033368535754,55.8981856796379,amygdala,L
42,7.484656869967004,45.840897972450065,bankssts,R
43,15.460794476062699,39.72565458150474,caudalanteriorcingulate,R
44,18.679624723542904,33.2877716927551,caudalmiddlefrontal,R
45,20.32561470933194,84.79135969775483,cuneus,R
46,26.91028987448548,82.24054717582456,entorhinal,R
47,25.378667502318205,68.9472843092603,fusiform,R
48,27.800689387967747,62.03691968292878,inferiorparietal,R
49,34.94880415336167,76.21746065345054,inferiortemporal,R
50,37.86120874412012,95.53866218468616,isthmuscingulate,R
51,36.55647235915935,66.62732330727616,lateraloccipital,R
52,33.71978315908215,68.7722692653564,lateralorbitofrontal,R
53,20.65953265072672,77.37011635071153,lingual,R
54,35.60011062225753,56.13896850650117,medialorbitofrontal,R
55,12.029712336943403,51.66886155767095,middletemporal,R
56,55.11480266975016,91.06963921314993,parahippocampal,R
57,37.36420452251635,48.90909793137912,paracentral,R
58,14.430073485787679,29.656634786683405,parsopercularis,R
59,31.723361795420036,92.18825661841099,parsorbitalis,R
60,15.802133602247805,43.53615436894451,parstriangularis,R
61,12.125108603329618,101.7420121652185,pericalcarine,R
62,37.99913199087569,50.15739148568733,postcentral,R
63,18.861619140994712,45.476870171331576,posteriorcingulate,R
64,25.49997292801941,39.62574813756228,precentral,R
65,20.2830585207086,72.0986249567068,precuneus,R
66,10.619083502931458,30.878634380648435,rostralanteriorcingulate,R
67,10.48978063435296,39.18045213352979,rostralmiddlefrontal,R
68,25.176736163248023,35.684701527084194,superiorfrontal,R
69,43.495782697055226,54.635151889247496,superiorparietal,R
70,13.109379638282517,39.504672078438695,superiortemporal,R
71,22.425882190608082,54.311745179424136,supramarginal,R
72,19.929914448376625,108.14119442241807,frontalpole,R
73,26.36127486972156,102.33312011207009,temporalpole,R
74,12.998473697266585,44.185775927256,transversetemporal,R
75,20.616452825636703,52.4108884642816,insula,R
76,19.40622692165256,67.06643317614089,thalamusproper,R
77,16.225922492033295,76.03874679281678,caudate,R
78,21.732505259947516,77.99222585435136,putamen,R
79,13.656345676551698,136.8749028464102,pallidum,R
80,45.71674291629501,65.54743268137236,accumbensarea,R
81,24.45773129059712,75.72822541305415,hippocampus,R
82,21.73907344864536,86.23831358922614,amygdala,R
83,46.88259392844256,74.58064086658158,brainstem,B
