value,SPI,Sample_ID,base_region
0.7904955451937568,cov_EmpiricalCovariance,sub-10171,Putamen
0.3846448602105861,cov_EmpiricalCovariance,sub-10171,Pallidum
0.2771294057734391,cov_EmpiricalCovariance,sub-10171,Hippocampus
0.42647754030453533,cov_EmpiricalCovariance,sub-10171,Amygdala
0.4745960088755242,cov_EmpiricalCovariance,sub-10171,Accumbens-area
0.017099718872306914,cov_EmpiricalCovariance,sub-10189,bankssts
0.3305013847767125,cov_EmpiricalCovariance,sub-10189,caudalanteriorcingulate
0.27710402898053715,cov_EmpiricalCovariance,sub-10189,caudalmiddlefrontal
0.8614057258152662,cov_EmpiricalCovariance,sub-10189,cuneus
0.09921112633088912,cov_EmpiricalCovariance,sub-10189,entorhinal
0.4693907900971077,cov_EmpiricalCovariance,sub-10189,fusiform
0.29330655394401034,cov_EmpiricalCovariance,sub-10189,inferiorparietal
0.2696272400441617,cov_EmpiricalCovariance,sub-10189,inferiortemporal
0.3647542610777826,cov_EmpiricalCovariance,sub-10189,isthmuscingulate
0.7623282589590291,cov_EmpiricalCovariance,sub-10189,lateraloccipital
0.03639691861399972,cov_EmpiricalCovariance,sub-10189,lateralorbitofrontal
0.8828490241031649,cov_EmpiricalCovariance,sub-10189,lingual
0.30357574678383015,cov_EmpiricalCovariance,sub-10189,medialorbitofrontal
-0.08062187691819278,cov_EmpiricalCovariance,sub-10189,middletemporal
0.2283067080781951,cov_EmpiricalCovariance,sub-10189,parahippocampal
0.6952055210634109,cov_EmpiricalCovariance,sub-10189,paracentral
0.2931278223445324,cov_EmpiricalCovariance,sub-10189,parsopercularis
-0.004504925644240655,cov_EmpiricalCovariance,sub-10189,parsorbitalis
0.12915603520078223,cov_EmpiricalCovariance,sub-10189,parstriangularis
0.8902007528163743,cov_EmpiricalCovariance,sub-10189,pericalcarine
0.64418120872832,cov_EmpiricalCovariance,sub-10189,postcentral
0.5207060938931133,cov_EmpiricalCovariance,sub-10189,posteriorcingulate
0.7124069715037429,cov_EmpiricalCovariance,sub-10189,precentral
0.6247875293344295,cov_EmpiricalCovariance,sub-10189,precuneus
0.28331187851532663,cov_EmpiricalCovariance,sub-10189,rostralanteriorcingulate
0.1407143041114242,cov_EmpiricalCovariance,sub-10189,rostralmiddlefrontal
0.2163810715906221,cov_EmpiricalCovariance,sub-10189,superiorfrontal
0.562048206561392,cov_EmpiricalCovariance,sub-10189,superiorparietal
0.18691830060596998,cov_EmpiricalCovariance,sub-10189,superiortemporal
0.05477075098818551,cov_EmpiricalCovariance,sub-10189,supramarginal
0.29085783044965546,cov_EmpiricalCovariance,sub-10189,frontalpole
0.06597394106128028,cov_EmpiricalCovariance,sub-10189,temporalpole
0.3793584506112947,cov_EmpiricalCovariance,sub-10189,transversetemporal
0.2839623185576679,cov_EmpiricalCovariance,sub-10189,insula
0.8118206394779784,cov_EmpiricalCovariance,sub-10189,Thalamus-Proper
0.5878316146179565,cov_EmpiricalCovariance,sub-10189,Caudate
0.327629826554911,cov_EmpiricalCovariance,sub-10189,Putamen
0.0564095662420506,cov_EmpiricalCovariance,sub-10189,Pallidum
0.3568458497621986,cov_EmpiricalCovariance,sub-10189,Hippocampus
0.37760146173414066,cov_EmpiricalCovariance,sub-10189,Amygdala
0.05371686489859995,cov_EmpiricalCovariance,sub-10189,Accumbens-area
0.5794454066412771,cov_EmpiricalCovariance,sub-10206,bankssts
0.3516136281768319,cov_EmpiricalCovariance,sub-10206,caudalanteriorcingulate
0.004130499320417486,cov_EmpiricalCovariance,sub-10206,caudalmiddlefrontal
0.8340739159638139,cov_EmpiricalCovariance,sub-10206,cuneus
0.5967667423825714,cov_EmpiricalCovariance,sub-10206,entorhinal
0.6880442963562656,cov_EmpiricalCovariance,sub-10206,fusiform
0.4300441997491677,cov_EmpiricalCovariance,sub-10206,inferiorparietal
0.32897133416093743,cov_EmpiricalCovariance,sub-10206,inferiortemporal
0.6096836064965911,cov_EmpiricalCovariance,sub-10206,isthmuscingulate
0.7118052601107967,cov_EmpiricalCovariance,sub-10206,lateraloccipital
0.3256492774260125,cov_EmpiricalCovariance,sub-10206,lateralorbitofrontal
0.8003429215424923,cov_EmpiricalCovariance,sub-10206,lingual
0.6096496481089021,cov_EmpiricalCovariance,sub-10206,medialorbitofrontal
0.6017108863799786,cov_EmpiricalCovariance,sub-10206,middletemporal
0.50574584492281,cov_EmpiricalCovariance,sub-10206,parahippocampal
0.6943945705860994,cov_EmpiricalCovariance,sub-10206,paracentral
0.25221026572676186,cov_EmpiricalCovariance,sub-10206,parsopercularis
0.4434659674111332,cov_EmpiricalCovariance,sub-10206,parsorbitalis
0.28803055813244344,cov_EmpiricalCovariance,sub-10206,parstriangularis
0.8847329008730065,cov_EmpiricalCovariance,sub-10206,pericalcarine
0.5637132816070296,cov_EmpiricalCovariance,sub-10206,postcentral
0.5490533053422046,cov_EmpiricalCovariance,sub-10206,posteriorcingulate
0.6726059107720069,cov_EmpiricalCovariance,sub-10206,precentral
0.7436454374146213,cov_EmpiricalCovariance,sub-10206,precuneus
0.41672781464807446,cov_EmpiricalCovariance,sub-10206,rostralanteriorcingulate
0.26469745534078765,cov_EmpiricalCovariance,sub-10206,rostralmiddlefrontal
0.28319042468144945,cov_EmpiricalCovariance,sub-10206,superiorfrontal
0.7018101301745838,cov_EmpiricalCovariance,sub-10206,superiorparietal
0.50046525253366,cov_EmpiricalCovariance,sub-10206,superiortemporal
0.8277138797246526,cov_EmpiricalCovariance,sub-10206,supramarginal
0.45680336869607263,cov_EmpiricalCovariance,sub-10206,frontalpole
-0.07424782237212957,cov_EmpiricalCovariance,sub-10206,temporalpole
0.5424096331374596,cov_EmpiricalCovariance,sub-10206,transversetemporal
0.7363297288812726,cov_EmpiricalCovariance,sub-10206,insula
0.8496775516564755,cov_EmpiricalCovariance,sub-10206,Thalamus-Proper
0.7184133756685717,cov_EmpiricalCovariance,sub-10206,Caudate
0.7521123792596754,cov_EmpiricalCovariance,sub-10206,Putamen
0.24937673422785847,cov_EmpiricalCovariance,sub-10206,Pallidum
0.6566295462317613,cov_EmpiricalCovariance,sub-10206,Hippocampus
0.630578498873246,cov_EmpiricalCovariance,sub-10206,Amygdala
0.23439861089440775,cov_EmpiricalCovariance,sub-10206,Accumbens-area
0.36667489351030097,cov_EmpiricalCovariance,sub-10217,bankssts
0.45613908670647674,cov_EmpiricalCovariance,sub-10217,caudalanteriorcingulate
0.0799287510930315,cov_EmpiricalCovariance,sub-10217,caudalmiddlefrontal
0.7236074835828538,cov_EmpiricalCovariance,sub-10217,cuneus
0.01059950624628863,cov_EmpiricalCovariance,sub-10217,entorhinal
0.004260327195666855,cov_EmpiricalCovariance,sub-10217,fusiform
0.12515765404295778,cov_EmpiricalCovariance,sub-10217,inferiorparietal
0.09388742155714591,cov_EmpiricalCovariance,sub-10217,inferiortemporal
